-1.25,0.425,4.72,248.1,49.3,3.28,211.9,40.8
-1.15,0.425,4.72,266.8,43.8,3.28,227.7,36.6
-1.05,0.375,6.71,89.7,20.3,1.29,84.2,18.5
-1.05,0.425,4.63,256.1,41.6,3.37,217.4,34.2
-0.95,0.325,4.59,228.4,48.3,3.41,194.7,38.6
-0.95,0.375,5.04,207.6,34.9,2.96,180.5,29.2
-0.95,0.425,5.22,204.3,30.1,2.78,179.0,25.6
-0.95,0.475,4.68,247.9,41.3,3.32,211.4,33.7
-0.85,0.275,7.38,65.0,11.9,0.62,62.2,11.2
-0.85,0.325,6.53,104.9,19.8,1.47,97.5,18.0
-0.85,0.375,6.62,118.1,14.0,1.38,109.8,12.9
-0.85,0.425,6.66,127.6,14.0,1.34,119.0,12.9
-0.85,0.475,5.08,202.8,35.9,2.92,176.8,30.1
-0.75,0.275,7.42,64.4,11.6,0.58,61.7,11.0
-0.75,0.325,6.53,125.0,16.2,1.47,115.9,14.8
-0.75,0.375,7.11,97.3,8.0,0.89,92.0,7.5
-0.75,0.425,6.71,130.6,11.8,1.29,121.9,10.9
-0.75,0.475,6.53,103.3,19.8,1.47,96.1,18.0
-0.65,0.275,7.20,81.4,12.6,0.80,77.3,11.8
-0.65,0.325,7.20,100.2,9.9,0.80,95.2,9.3
-0.65,0.375,6.34,159.2,12.7,1.66,146.3,11.5
-0.65,0.425,6.79,108.0,14.5,1.21,101.2,13.4
-0.55,0.275,7.29,89.2,9.6,0.71,84.9,9.1
-0.55,0.325,7.29,93.1,7.8,0.71,88.5,7.4
-0.55,0.375,7.02,104.7,8.7,0.98,98.7,8.2
-0.55,0.425,6.57,108.3,18.7,1.43,100.8,17.1
-0.45,0.225,7.56,77.6,8.5,0.44,74.5,8.1
-0.45,0.275,6.75,122.4,12.6,1.25,114.3,11.7
-0.45,0.325,6.84,115.7,10.1,1.16,108.4,9.4
-0.45,0.375,5.54,189.6,24.1,2.46,168.6,20.9
-0.35,0.225,7.29,91.5,10.2,0.71,87.2,9.6
-0.35,0.275,6.57,150.9,13.5,1.43,140.1,12.4
-0.35,0.325,5.67,190.6,22.3,2.33,170.6,19.5
-0.25,0.175,7.70,75.6,8.4,0.30,72.8,8.0
-0.25,0.225,7.88,64.6,8.5,0.12,62.4,8.2
-0.15,0.125,7.70,76.7,8.1,0.30,73.9,7.8
-0.15,0.175,6.08,161.8,19.8,1.92,147.4,17.7
-0.05,0.025,6.57,121.9,16.4,1.43,113.2,14.9
-0.05,0.075,7.92,71.4,7.0,0.08,69.2,6.8
0.05,0.025,8.55,54.7,4.9,-0.55,53.4,4.7
0.05,0.075,7.20,106.8,10.0,0.80,101.3,9.4
0.15,0.025,6.03,145.4,20.9,1.97,132.4,18.8
0.25,0.025,4.82,240.3,42.9,3.18,206.2,35.7
